,Player Team,Player Name,Tries,Metres carried,Carries,Defenders beaten,Clean breaks,Passes,Offloads,Turnovers conceded,Try assists,Points,Tackles,Missed tackles,Turnovers won,Kicks in play,Conversions,Penalty goals,Drop goals,Throws won,Lineouts won,Lineout steals,Penalties conceded,Red cards,Yellow cards,Round N,Minutes Played,Tries per 80,Tries mean (per 80),Tries std (per 80),Tries std from mean,Tries Percentile,Tries per 80 Percentile,Metres carried per 80,Metres carried mean (per 80),Metres carried std (per 80),Metres carried std from mean,Metres carried Percentile,Metres carried per 80 Percentile,Carries per 80,Carries mean (per 80),Carries std (per 80),Carries std from mean,Carries Percentile,Carries per 80 Percentile,Defenders beaten per 80,Defenders beaten mean (per 80),Defenders beaten std (per 80),Defenders beaten std from mean,Defenders beaten Percentile,Defenders beaten per 80 Percentile,Clean breaks per 80,Clean breaks mean (per 80),Clean breaks std (per 80),Clean breaks std from mean,Clean breaks Percentile,Clean breaks per 80 Percentile,Passes per 80,Passes mean (per 80),Passes std (per 80),Passes std from mean,Passes Percentile,Passes per 80 Percentile,Offloads per 80,Offloads mean (per 80),Offloads std (per 80),Offloads std from mean,Offloads Percentile,Offloads per 80 Percentile,Turnovers conceded per 80,Turnovers conceded mean (per 80),Turnovers conceded std (per 80),Turnovers conceded std from mean,Turnovers conceded Percentile,Turnovers conceded per 80 Percentile,Try assists per 80,Try assists mean (per 80),Try assists std (per 80),Try assists std from mean,Try assists Percentile,Try assists per 80 Percentile,Points per 80,Points mean (per 80),Points std (per 80),Points std from mean,Points Percentile,Points per 80 Percentile,Tackles per 80,Tackles mean (per 80),Tackles std (per 80),Tackles std from mean,Tackles Percentile,Tackles per 80 Percentile,Missed tackles per 80,Missed tackles mean (per 80),Missed tackles std (per 80),Missed tackles std from mean,Missed tackles Percentile,Missed tackles per 80 Percentile,Turnovers won per 80,Turnovers won mean (per 80),Turnovers won std (per 80),Turnovers won std from mean,Turnovers won Percentile,Turnovers won per 80 Percentile,Kicks in play per 80,Kicks in play mean (per 80),Kicks in play std (per 80),Kicks in play std from mean,Kicks in play Percentile,Kicks in play per 80 Percentile,Conversions per 80,Conversions mean (per 80),Conversions std (per 80),Conversions std from mean,Conversions Percentile,Conversions per 80 Percentile,Penalty goals per 80,Penalty goals mean (per 80),Penalty goals std (per 80),Penalty goals std from mean,Penalty goals Percentile,Penalty goals per 80 Percentile,Drop goals per 80,Drop goals mean (per 80),Drop goals std (per 80),Drop goals std from mean,Drop goals Percentile,Drop goals per 80 Percentile,Throws won per 80,Throws won mean (per 80),Throws won std (per 80),Throws won std from mean,Throws won Percentile,Throws won per 80 Percentile,Lineouts won per 80,Lineouts won mean (per 80),Lineouts won std (per 80),Lineouts won std from mean,Lineouts won Percentile,Lineouts won per 80 Percentile,Penalties conceded per 80,Penalties conceded mean (per 80),Penalties conceded std (per 80),Penalties conceded std from mean,Penalties conceded Percentile,Penalties conceded per 80 Percentile
74,Codie Taylor (Crusaders),Codie Taylor,12,282,101,13,0,50,1,10,2,60,122,10,7,0,0,0,0,130,0,5,11,0,1,120.0,811.0,1.183723797780518,0.2427437440645509,0.25023187612731074,3.7604323968590783,0.9945205479452055,0.9945205479452055,27.817509247842167,30.83415571275694,20.923911228263297,-0.14417220719422616,0.7082191780821918,0.5150684931506849,9.963008631319358,7.797377258368616,2.465986048720023,0.8782009833651812,0.8712328767123287,0.8136986301369863,1.2823674475955609,1.4527150527643213,1.204645806789429,-0.14140887239110034,0.6958904109589041,0.547945205479452,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,4.932182490752158,10.976165421568483,19.228511048975523,-0.31432402204321186,0.6698630136986301,0.5232876712328767,0.09864364981504316,0.5707312747625213,0.5205083551610629,-0.9069741537605065,0.2547945205479452,0.1726027397260274,0.9864364981504316,0.9644392862075037,0.5372944483448014,0.04094070208745465,0.7753424657534247,0.5616438356164384,0.19728729963008632,0.1728663120922037,0.28900859919446986,0.08449917270956378,0.7602739726027398,0.6958904109589041,5.9186189889025895,1.7117717406857083,2.143284884661082,1.9628035817002978,0.9671232876712329,0.9506849315068493,12.034525277435264,9.600467460611016,3.999466373790104,0.6085956448528926,0.9,0.726027397260274,0.9864364981504316,1.6309385278244561,0.7776381987400253,-0.8287942011057126,0.4958904109589041,0.18356164383561643,0.690505548705302,0.42463003529708165,0.37308711479861606,0.7126365475037483,0.9041095890410958,0.8082191780821918,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,12.823674475955611,0.9013587447007101,3.143367259327104,3.7928484798836695,0.9972602739726028,0.9780821917808219,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,1.0850801479654746,0.7482375268840392,0.6147316117070859,0.547950706725552,0.9246575342465754,0.7972602739726027
75,Connal McInerney (ACT Brumbies),Connal McInerney,1,62,31,6,1,19,3,3,1,5,62,4,2,0,0,0,0,48,0,0,4,0,0,100.0,295.0,0.2711864406779661,0.2427437440645509,0.25023187612731074,0.11366536131849315,0.436986301369863,0.6301369863013698,16.813559322033896,30.83415571275694,20.923911228263297,-0.6700753142072456,0.21643835616438356,0.32054794520547947,8.406779661016948,7.797377258368616,2.465986048720023,0.2471232158692235,0.27945205479452057,0.6082191780821918,1.6271186440677965,1.4527150527643213,1.204645806789429,0.14477582565807307,0.43561643835616437,0.6602739726027397,0.2711864406779661,0.3707740961064179,0.4041869143499797,-0.24639010292703412,0.4095890410958904,0.536986301369863,5.1525423728813555,10.976165421568483,19.228511048975523,-0.3028639624698036,0.30547945205479454,0.5506849315068493,0.8135593220338982,0.5707312747625213,0.5205083551610629,0.46652094027623775,0.5178082191780822,0.7397260273972602,0.8135593220338982,0.9644392862075037,0.5372944483448014,-0.2808142995677862,0.23424657534246576,0.4191780821917808,0.2711864406779661,0.1728663120922037,0.28900859919446986,0.3401979348012553,0.6136986301369863,0.7808219178082192,1.3559322033898304,1.7117717406857083,2.143284884661082,-0.16602530995413928,0.40136986301369865,0.5589041095890411,16.813559322033896,9.600467460611016,3.999466373790104,1.8035135658828845,0.5438356164383562,0.9671232876712329,1.0847457627118644,1.6309385278244561,0.7776381987400253,-0.7023738880080288,0.12191780821917808,0.2356164383561644,0.5423728813559322,0.42463003529708165,0.37308711479861606,0.315590759874957,0.4684931506849315,0.7205479452054795,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,13.016949152542372,0.9013587447007101,3.143367259327104,3.8543349880265754,0.9424657534246575,0.9863013698630136,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,1.0847457627118644,0.7482375268840392,0.6147316117070859,0.5474067534828001,0.4958904109589041,0.7945205479452054
77,Connor Garden-Bachop (Highlanders),Connor Garden-Bachop,3,374,63,15,7,57,6,7,1,15,29,10,2,17,0,0,0,0,4,0,7,0,1,95.0,612.0,0.39215686274509803,0.2427437440645509,0.25023187612731074,0.5970986630197748,0.7684931506849315,0.7698630136986301,48.88888888888889,30.83415571275694,20.923911228263297,0.8628756344437288,0.7890410958904109,0.8027397260273973,8.235294117647058,7.797377258368616,2.465986048720023,0.17758286163287243,0.647945205479452,0.5821917808219178,1.9607843137254901,1.4527150527643213,1.204645806789429,0.4217582114989081,0.7589041095890411,0.7342465753424657,0.9150326797385621,0.3707740961064179,0.4041869143499797,1.3465517173098738,0.8753424657534247,0.8821917808219178,7.450980392156863,10.976165421568483,19.228511048975523,-0.18333114927270663,0.7054794520547946,0.7643835616438356,0.7843137254901961,0.5707312747625213,0.5205083551610629,0.4103343368265149,0.7561643835616438,0.7232876712328767,0.9150326797385621,0.9644392862075037,0.5372944483448014,-0.09195443321840478,0.6082191780821918,0.5013698630136987,0.13071895424836602,0.1728663120922037,0.28900859919446986,-0.1458342691577745,0.6136986301369863,0.6054794520547945,1.9607843137254901,1.7117717406857083,2.143284884661082,0.11618267586446318,0.7027397260273973,0.6876712328767123,3.7908496732026142,9.600467460611016,3.999466373790104,-1.4525982329744913,0.18356164383561643,0.0821917808219178,1.3071895424836601,1.6309385278244561,0.7776381987400253,-0.4163234083219587,0.4958904109589041,0.3684931506849315,0.26143790849673204,0.42463003529708165,0.37308711479861606,-0.4374102463668224,0.4684931506849315,0.3767123287671233,2.2222222222222223,1.3785938115357095,2.3983740173251062,0.35175014597073023,0.8068493150684931,0.7876712328767124,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.5228758169934641,0.8112831118797657,1.4630799451597467,-0.19712340111039645,0.7246575342465753,0.7315068493150685,0.9150326797385621,0.7482375268840392,0.6147316117070859,0.2713300400988639,0.7589041095890411,0.7013698630136986
78,Connor Vest (Queensland Reds),Connor Vest,0,66,43,1,1,19,0,8,0,0,64,8,1,0,0,0,0,0,15,0,0,0,0,75.0,427.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,12.365339578454332,30.83415571275694,20.923911228263297,-0.8826655749406721,0.2328767123287671,0.2356164383561644,8.056206088992974,7.797377258368616,2.465986048720023,0.10495956810408714,0.4438356164383562,0.547945205479452,0.18735362997658078,1.4527150527643213,1.204645806789429,-1.0504012180643605,0.10684931506849316,0.08493150684931507,0.18735362997658078,0.3707740961064179,0.4041869143499797,-0.4538010994859076,0.4095890410958904,0.44931506849315067,3.559718969555035,10.976165421568483,19.228511048975523,-0.3857005065615098,0.30547945205479454,0.3013698630136986,0.0,0.5707312747625213,0.5205083551610629,-1.0964882102342386,0.0821917808219178,0.0821917808219178,1.4988290398126463,0.9644392862075037,0.5372944483448014,0.9945938493341832,0.684931506849315,0.8438356164383561,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,11.99063231850117,9.600467460611016,3.999466373790104,0.5976209410219665,0.5616438356164384,0.7232876712328767,1.4988290398126463,1.6309385278244561,0.7776381987400253,-0.1698855434646361,0.38904109589041097,0.5013698630136987,0.18735362997658078,0.42463003529708165,0.37308711479861606,-0.6359812384530548,0.27123287671232876,0.27945205479452057,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,2.8103044496487115,0.8112831118797657,1.4630799451597467,1.366310394987119,0.8547945205479452,0.8684931506849315,0.0,0.7482375268840392,0.6147316117070859,-1.2171775660051263,0.038356164383561646,0.038356164383561646
80,Corey Kellow (Crusaders),Corey Kellow,0,60,18,2,0,13,1,4,0,0,29,7,1,1,0,0,0,0,0,1,6,0,1,46.0,181.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,26.519337016574585,30.83415571275694,20.923911228263297,-0.20621472960342355,0.20821917808219179,0.4904109589041096,7.955801104972375,7.797377258368616,2.465986048720023,0.0642436102531841,0.10821917808219178,0.5342465753424658,0.8839779005524862,1.4527150527643213,1.204645806789429,-0.4721198123186178,0.1684931506849315,0.3780821917808219,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,5.74585635359116,10.976165421568483,19.228511048975523,-0.2720080121989471,0.17945205479452056,0.6191780821917808,0.4419889502762431,0.5707312747625213,0.5205083551610629,-0.24733959255359309,0.2547945205479452,0.5123287671232877,1.7679558011049723,0.9644392862075037,0.5372944483448014,1.495486352730417,0.33013698630136984,0.9123287671232877,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,12.81767955801105,9.600467460611016,3.999466373790104,0.8044103379599703,0.18356164383561643,0.7835616438356164,3.0939226519337018,1.6309385278244561,0.7776381987400253,1.8813172069989075,0.3136986301369863,0.947945205479452,0.4419889502762431,0.42463003529708165,0.37308711479861606,0.04652777941294319,0.27123287671232876,0.6219178082191781,0.4419889502762431,1.3785938115357095,2.3983740173251062,-0.3905165977006609,0.4671232876712329,0.5972602739726027,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,2.6519337016574585,0.7482375268840392,0.6147316117070859,3.0967923863341413,0.684931506849315,0.9863013698630136
81,Corey Toole (ACT Brumbies),Corey Toole,9,750,76,25,19,64,10,11,2,45,44,26,3,12,0,0,0,1,0,0,4,0,0,120.0,955.0,0.7539267015706806,0.2427437440645509,0.25023187612731074,2.04283708941244,0.9849315068493151,0.9643835616438357,62.82722513089006,30.83415571275694,20.923911228263297,1.5290195541891798,0.9506849315068493,0.9041095890410958,6.366492146596858,7.797377258368616,2.465986048720023,-0.5802486646323336,0.7219178082191781,0.29863013698630136,2.094240837696335,1.4527150527643213,1.204645806789429,0.5325430772400902,0.8863013698630137,0.7698630136986301,1.5916230366492146,0.3707740961064179,0.4041869143499797,3.020505853105578,0.9917808219178083,0.9917808219178083,5.361256544502618,10.976165421568483,19.228511048975523,-0.2920095509613066,0.7465753424657534,0.5753424657534246,0.837696335078534,0.5707312747625213,0.5205083551610629,0.5128929395060426,0.8931506849315068,0.7479452054794521,0.9214659685863874,0.9644392862075037,0.5372944483448014,-0.07998094481247793,0.8123287671232877,0.5041095890410959,0.16753926701570682,0.1728663120922037,0.28900859919446986,-0.01843213347749698,0.7602739726027398,0.6465753424657534,3.769633507853403,1.7117717406857083,2.143284884661082,0.9601438343055849,0.9465753424657535,0.9013698630136986,3.6858638743455496,9.600467460611016,3.999466373790104,-1.478848184604307,0.363013698630137,0.07671232876712329,2.1780104712041886,1.6309385278244561,0.7776381987400253,0.7035044629573628,0.9684931506849315,0.810958904109589,0.2513089005235602,0.42463003529708165,0.37308711479861606,-0.46455942298376146,0.6041095890410959,0.3589041095890411,1.0052356020942408,1.3785938115357095,2.3983740173251062,-0.1556713868414373,0.7671232876712328,0.6904109589041096,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.08376963350785341,0.9013587447007101,3.143367259327104,-0.2600997731865022,0.8438356164383561,0.8232876712328767,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,0.33507853403141363,0.7482375268840392,0.6147316117070859,-0.6720965458491699,0.4958904109589041,0.2684931506849315
82,Cortez Ratima (Chiefs),Cortez Ratima,4,256,41,29,4,473,3,9,3,20,60,7,3,21,0,0,0,0,1,0,2,0,1,146.0,503.0,0.636182902584493,0.2427437440645509,0.25023187612731074,1.572298320297817,0.852054794520548,0.9178082191780822,40.71570576540755,30.83415571275694,20.923911228263297,0.47226113439551176,0.6712328767123288,0.7068493150684931,6.5208747514910534,7.797377258368616,2.465986048720023,-0.5176438477987882,0.41643835616438357,0.33424657534246577,4.612326043737575,1.4527150527643213,1.204645806789429,2.6228547620931955,0.9178082191780822,0.9863013698630136,0.636182902584493,0.3707740961064179,0.4041869143499797,0.6566486866723777,0.7561643835616438,0.7534246575342466,75.22862823061631,10.976165421568483,19.228511048975523,3.3415204456234346,0.9616438356164384,0.9643835616438357,0.47713717693836977,0.5707312747625213,0.5205083551610629,-0.1798128635133827,0.5178082191780822,0.536986301369863,1.4314115308151094,0.9644392862075037,0.5372944483448014,0.869117940909623,0.7356164383561644,0.821917808219178,0.47713717693836977,0.1728663120922037,0.28900859919446986,1.0528090364585534,0.8479452054794521,0.8958904109589041,3.1809145129224654,1.7117717406857083,2.143284884661082,0.6854631331331732,0.7849315068493151,0.8438356164383561,9.542743538767395,9.600467460611016,3.999466373790104,-0.01443290590512428,0.5301369863013699,0.4821917808219178,1.1133200795228628,1.6309385278244561,0.7776381987400253,-0.6656288864670857,0.3136986301369863,0.24383561643835616,0.47713717693836977,0.42463003529708165,0.37308711479861606,0.14073694737388687,0.6041095890410959,0.6602739726027397,3.3399602385685885,1.3785938115357095,2.3983740173251062,0.8177900581246208,0.821917808219178,0.852054794520548,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.15904572564612324,0.8112831118797657,1.4630799451597467,-0.4457975029945665,0.5821917808219178,0.6082191780821918,0.3180914512922465,0.7482375268840392,0.6147316117070859,-0.6997298778849094,0.25205479452054796,0.25205479452054796
83,Cullen Grace (Crusaders),Cullen Grace,1,247,58,7,1,35,4,7,0,5,23,10,1,1,0,0,0,0,22,1,2,0,0,70.0,357.0,0.22408963585434175,0.2427437440645509,0.25023187612731074,-0.07454728989330875,0.436986301369863,0.5506849315068493,55.35014005602241,30.83415571275694,20.923911228263297,1.1716731196101677,0.6547945205479452,0.8657534246575342,12.99719887955182,7.797377258368616,2.465986048720023,2.1086176152059686,0.5863013698630137,0.9808219178082191,1.5686274509803921,1.4527150527643213,1.204645806789429,0.0962211444748192,0.4849315068493151,0.6287671232876713,0.22408963585434175,0.3707740961064179,0.4041869143499797,-0.3629124423485521,0.4095890410958904,0.5013698630136987,7.8431372549019605,10.976165421568483,19.228511048975523,-0.16293659757048362,0.5383561643835616,0.7780821917808219,0.896358543417367,0.5707312747625213,0.5205083551610629,0.6255947006923369,0.6150684931506849,0.7753424657534247,1.5686274509803921,0.9644392862075037,0.5372944483448014,1.12450103780927,0.6082191780821918,0.863013698630137,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,1.1204481792717087,1.7117717406857083,2.143284884661082,-0.27589592295730003,0.40136986301369865,0.4904109589041096,5.154061624649859,9.600467460611016,3.999466373790104,-1.1117497736948114,0.1178082191780822,0.1643835616438356,2.2408963585434174,1.6309385278244561,0.7776381987400253,0.7843722591138791,0.4958904109589041,0.8246575342465754,0.22408963585434175,0.42463003529708165,0.37308711479861606,-0.5375162836995512,0.27123287671232876,0.32602739726027397,0.22408963585434175,1.3785938115357095,2.3983740173251062,-0.4813695309161913,0.4671232876712329,0.5123287671232877,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,4.9299719887955185,0.8112831118797657,1.4630799451597467,2.815081219957569,0.9123287671232877,0.9726027397260274,0.4481792717086835,0.7482375268840392,0.6147316117070859,-0.48811261607664125,0.25205479452054796,0.36712328767123287
84,D'Angelo Leuila (Moana Pasifika),D'Angelo Leuila,0,150,27,9,2,15,5,4,0,7,13,4,2,11,2,1,0,0,0,0,0,0,0,37.0,164.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,73.17073170731707,30.83415571275694,20.923911228263297,2.0233586126753087,0.4904109589041096,0.9534246575342465,13.170731707317074,7.797377258368616,2.465986048720023,2.1789881786790772,0.22465753424657534,0.9863013698630136,4.390243902439025,1.4527150527643213,1.204645806789429,2.4385000413554594,0.5671232876712329,0.9780821917808219,0.975609756097561,0.3707740961064179,0.4041869143499797,1.4964256350650296,0.5547945205479452,0.9054794520547945,7.317073170731707,10.976165421568483,19.228511048975523,-0.19029514253688037,0.22602739726027396,0.7589041095890411,2.4390243902439024,0.5707312747625213,0.5205083551610629,3.5893623934303,0.6958904109589041,0.9972602739726028,1.951219512195122,0.9644392862075037,0.5372944483448014,1.8365725330449818,0.33013698630136984,0.9493150684931507,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,3.414634146341464,1.7117717406857083,2.143284884661082,0.794510528134961,0.5054794520547945,0.863013698630137,6.341463414634147,9.600467460611016,3.999466373790104,-0.814859719120095,0.026027397260273973,0.2328767123287671,1.951219512195122,1.6309385278244561,0.7776381987400253,0.41186374960695565,0.12191780821917808,0.7315068493150685,0.975609756097561,0.42463003529708165,0.37308711479861606,1.476812516288282,0.4684931506849315,0.9232876712328767,5.365853658536586,1.3785938115357095,2.3983740173251062,1.6624845908928942,0.7547945205479452,0.9095890410958904,0.975609756097561,0.15927414486053937,0.5726855168389288,1.4254518182037785,0.915068493150685,0.936986301369863,0.4878048780487805,0.0596508815975086,0.2462594364919304,1.7386298066401282,0.9287671232876712,0.947945205479452,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,0.0,0.7482375268840392,0.6147316117070859,-1.2171775660051263,0.038356164383561646,0.038356164383561646
85,Dallas McLeod (Crusaders),Dallas McLeod,2,453,95,33,7,45,5,9,1,10,101,23,4,19,0,0,0,1,1,0,3,0,0,131.0,833.0,0.1920768307322929,0.2427437440645509,0.25023187612731074,-0.20247985235294383,0.6315068493150685,0.4904109589041096,43.50540216086435,30.83415571275694,20.923911228263297,0.6055868957707835,0.8493150684931506,0.7397260273972602,9.123649459783913,7.797377258368616,2.465986048720023,0.5378263198624751,0.8383561643835616,0.6958904109589041,3.169267707082833,1.4527150527643213,1.204645806789429,1.4249438670221206,0.9356164383561644,0.8986301369863013,0.6722689075630252,0.3707740961064179,0.4041869143499797,0.7459291747271837,0.8753424657534247,0.7863013698630137,4.321728691476591,10.976165421568483,19.228511048975523,-0.34607134754962915,0.6178082191780822,0.4246575342465753,0.4801920768307323,0.5707312747625213,0.5205083551610629,-0.1739437936664304,0.6958904109589041,0.5397260273972603,0.8643457382953181,0.9644392862075037,0.5372944483448014,-0.18629179627769377,0.7356164383561644,0.4657534246575342,0.09603841536614645,0.1728663120922037,0.28900859919446986,-0.2658325632531122,0.6136986301369863,0.5616438356164384,0.9603841536614646,1.7117717406857083,2.143284884661082,-0.3505775608281121,0.5780821917808219,0.4465753424657534,9.699879951980792,9.600467460611016,3.999466373790104,0.024856438854258336,0.8301369863013699,0.5095890410958904,2.2088835534213684,1.6309385278244561,0.7776381987400253,0.7432055505160787,0.9397260273972603,0.8164383561643835,0.3841536614645858,0.42463003529708165,0.37308711479861606,-0.10849040941642835,0.7136986301369863,0.5315068493150685,1.8247298919567827,1.3785938115357095,2.3983740173251062,0.18601605804529453,0.8164383561643835,0.7671232876712328,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.09603841536614645,0.9013587447007101,3.143367259327104,-0.25619670337437994,0.8438356164383561,0.8438356164383561,0.09603841536614645,0.8112831118797657,1.4630799451597467,-0.4888623474608047,0.5821917808219178,0.5561643835616439,0.28811524609843936,0.7482375268840392,0.6147316117070859,-0.7484929553368145,0.3821917808219178,0.2191780821917808
86,Dalton Papali'i (Blues),Dalton Papali'i,3,319,66,17,7,46,3,6,1,15,124,10,10,0,0,0,0,0,5,0,8,1,0,104.0,897.0,0.26755852842809363,0.2427437440645509,0.25023187612731074,0.09916715946659684,0.7684931506849315,0.6273972602739726,28.450390189520625,30.83415571275694,20.923911228263297,-0.11392542709779829,0.7410958904109589,0.5342465753424658,5.886287625418061,7.797377258368616,2.465986048720023,-0.7749799046683625,0.6616438356164384,0.2136986301369863,1.516164994425864,1.4527150527643213,1.204645806789429,0.05267103517393773,0.7986301369863014,0.6109589041095891,0.6243032329988852,0.3707740961064179,0.4041869143499797,0.6272571621973393,0.8753424657534247,0.7479452054794521,4.102564102564102,10.976165421568483,19.228511048975523,-0.35746924457630325,0.6232876712328768,0.3780821917808219,0.26755852842809363,0.5707312747625213,0.5205083551610629,-0.5824551005345836,0.5178082191780822,0.3424657534246575,0.5351170568561873,0.9644392862075037,0.5372944483448014,-0.7990446033341568,0.5164383561643836,0.21643835616438356,0.08918617614269789,0.1728663120922037,0.28900859919446986,-0.2895420281013806,0.6136986301369863,0.5534246575342465,1.3377926421404682,1.7117717406857083,2.143284884661082,-0.17448874912603016,0.7027397260273973,0.5561643835616439,11.059085841694538,9.600467460611016,3.999466373790104,0.3647032490740154,0.910958904109589,0.6438356164383562,0.8918617614269788,1.6309385278244561,0.7776381987400253,-0.9504121165793714,0.4958904109589041,0.14246575342465753,0.8918617614269788,0.42463003529708165,0.37308711479861606,1.2523394874735843,0.963013698630137,0.8986301369863013,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.4459308807134894,0.8112831118797657,1.4630799451597467,-0.24971446869664063,0.7479452054794521,0.7205479452054795,0.7134894091415831,0.7482375268840392,0.6147316117070859,-0.056525672473491224,0.8095890410958904,0.5780821917808219
